# Species	Genes	Alg.-Conn.	protein.GCA_000227135.faa	protein.GCA_000755165.faa	protein.GCA_017916335.faa	protein.GCA_017918215.faa	protein.GCA_017918225.faa
5	9	0.705	CBZ32928.1	AIN96827.1,AIN96829.1	KAG5483066.1,KAG5483070.1	KAG5509289.1,KAG5509293.1	KAG5504628.1,KAG5504632.1
5	9	0.701	CBZ38543.1,CBZ38544.1	AIO02238.1,AIO02239.1	KAG5464659.1,KAG5464660.1	KAG5489243.1	KAG5488496.1,KAG5488497.1
5	9	0.7	CBZ34950.1	AIN99174.1,AIN99176.1	KAG5476087.1,KAG5476089.1	KAG5502112.1,KAG5502114.1	KAG5499501.1,KAG5499503.1
5	9	0.699	CBZ38793.1,CBZ38794.1	AIO02484.1,AIO02485.1	KAG5464918.1,KAG5464919.1	KAG5489500.1,KAG5489501.1	KAG5488754.1
5	9	0.694	CBZ31283.1	AIN95273.1,AIN95274.1	KAG5488015.1,KAG5488016.1	KAG5512371.1,KAG5512372.1	KAG5508319.1,KAG5508320.1
5	9	0.691	CBZ38689.1,CBZ38690.1	AIO02382.1	KAG5464812.1,KAG5464813.1	KAG5489390.1,KAG5489391.1	KAG5488644.1,KAG5488645.1
5	9	0.689	CBZ38538.1,CBZ38539.1	AIO02233.1,AIO02234.1	KAG5464654.1,KAG5464655.1	KAG5489238.1	KAG5488491.1,KAG5488492.1
5	9	0.685	CBZ33116.1,CBZ33117.1	AIN97002.1,AIN97003.1	KAG5482412.1	KAG5508998.1,KAG5508999.1	KAG5504277.1,KAG5504278.1
5	9	0.684	CBZ33492.1	AIN97359.1,AIN97360.1	KAG5480833.1,KAG5480834.1	KAG5507268.1,KAG5507269.1	KAG5503004.1,KAG5503005.1
5	9	0.684	CBZ34037.1	AIN95369.1,AIN98298.1	KAG5479160.1,KAG5487826.1	KAG5505368.1,KAG5512188.1	KAG5501590.1,KAG5507882.1
5	9	0.684	CBZ35462.1,CBZ36345.1	AIN99689.1,AIO00538.1	KAG5474618.1	KAG5498092.1,KAG5499780.1	KAG5496781.1,KAG5498203.1
5	9	0.682	CBZ38504.1	AIN96703.1,AIO02200.1	KAG5464620.1,KAG5483804.1	KAG5489205.1,KAG5509781.1	KAG5488457.1,KAG5505184.1
5	9	0.68	CBZ33941.1	AIN98204.1,AIO00553.1	KAG5472937.1,KAG5479829.1	KAG5498107.1,KAG5506124.1	KAG5496796.1,KAG5502457.1
5	9	0.673	CBZ37039.1	AIO01195.1,AIO01196.1	KAG5470286.1,KAG5470287.1	KAG5495608.1,KAG5495609.1	KAG5494852.1,KAG5494853.1
5	9	0.671	CBZ36778.1	AIN97345.1,AIO00935.1	KAG5470014.1,KAG5480820.1	KAG5495335.1,KAG5507254.1	KAG5494583.1,KAG5502990.1
5	9	0.67	CBZ34972.1,CBZ34973.1	AIN99200.1	KAG5476114.1,KAG5476115.1	KAG5502139.1,KAG5502140.1	KAG5499531.1,KAG5499532.1
5	9	0.668	CBZ35700.1	AIN99922.1,AIN99923.1	KAG5474863.1,KAG5474864.1	KAG5500031.1,KAG5500032.1	KAG5498449.1,KAG5498450.1
5	9	0.668	CBZ37701.1	AIN96073.1,AIN97709.1	KAG5467887.1,KAG5485594.1	KAG5493221.1,KAG5510659.1	KAG5491668.1,KAG5506226.1
5	9	0.668	CBZ37821.1	AIN96920.1,AIN97832.1	KAG5468005.1,KAG5482328.1	KAG5493338.1,KAG5508920.1	KAG5491791.1,KAG5504183.1
5	9	0.668	CBZ38910.1	AIN96474.1,AIO02594.1	KAG5465033.1,KAG5484322.1	KAG5489617.1,KAG5509948.1	KAG5488873.1,KAG5505251.1
5	9	0.667	CBZ31413.1	AIN95395.1,AIN95413.1	KAG5487853.1,KAG5487873.1	KAG5512214.1,KAG5512233.1	KAG5507911.1,KAG5507932.1
5	9	0.667	CBZ37893.1	AIN97902.1,AIN97904.1	KAG5468075.1,KAG5468077.1	KAG5493406.1,KAG5493408.1	KAG5491862.1,KAG5491864.1
5	9	0.666	CBZ38122.1	AIN98850.1,AIO01830.1	KAG5466252.1,KAG5478116.1	KAG5492090.1,KAG5504120.1	KAG5491095.1,KAG5500873.1
5	9	0.666	CBZ38569.1	AIN95759.1,AIO02266.1	KAG5464686.1,KAG5486862.1	KAG5489269.1,KAG5511555.1	KAG5488523.1,KAG5507197.1
5	9	0.665	CBZ34392.1	AIN98639.1,AIO00933.1	KAG5470012.1,KAG5477895.1	KAG5495333.1,KAG5503897.1	KAG5494581.1,KAG5500647.1
5	9	0.665	CBZ37471.1	AIN97379.1,AIO01614.1	KAG5469246.1,KAG5480854.1	KAG5494514.1,KAG5507288.1	KAG5493748.1,KAG5503024.1
5	9	0.665	CBZ37966.1	AIO00981.1,AIO01681.1	KAG5466093.1,KAG5470064.1	KAG5491936.1,KAG5495388.1	KAG5490937.1,KAG5494628.1
5	9	0.665	CBZ38283.1	AIO01989.1,AIO01990.1	KAG5466429.1,KAG5466430.1	KAG5492263.1,KAG5492264.1	KAG5491285.1,KAG5491286.1
5	9	0.65	CBZ34602.1	AIN98835.1,AIO01779.1	KAG5466197.1,KAG5478100.1	KAG5492035.1,KAG5504104.1	KAG5491040.1,KAG5500857.1
5	9	0.63	CBZ34076.1	AIN98335.1,AIN98338.1	KAG5479198.1,KAG5479201.1	KAG5505406.1,KAG5505409.1	KAG5501628.1,KAG5501631.1
5	9	0.614	CBZ32749.1,CBZ32750.1	AIN96662.1	KAG5483757.1,KAG5483758.1	KAG5509740.1	KAG5505134.1,KAG5505135.1,KAG5505136.1
5	9	0.603	CBZ36606.1	AIO00767.1	KAG5471740.1,KAG5471754.1	KAG5497011.1,KAG5497025.1	KAG5495920.1,KAG5495936.1,KAG5495937.1
5	9	0.443	CBZ33376.1	AIN97224.1,AIN97225.1	KAG5481361.1,KAG5481360.1	KAG5508032.1,KAG5508033.1	KAG5503647.1,KAG5503646.1
5	9	0.218	CBZ34905.1	AIN99131.1	KAG5476043.1,KAG5476044.1	KAG5502069.1,KAG5502070.1,KAG5502071.1	KAG5499456.1,KAG5499457.1
5	9	0.198	CBZ38830.1	AIN97317.1,AIO02520.1	KAG5464957.1,KAG5481426.1	KAG5489539.1,KAG5508095.1	KAG5488793.1,KAG5503712.1
5	9	0.167	CBZ35354.1	AIN99584.1,AIN98410.1	KAG5475701.1,KAG5479281.1	KAG5501092.1,KAG5505486.1	KAG5499356.1,KAG5501723.1
5	9	0.131	CBZ38831.1	AIN97234.1,AIO02521.1	KAG5464958.1,KAG5481352.1	KAG5489540.1,KAG5508023.1	KAG5488794.1,KAG5503637.1
5	9	0.117	CBZ36498.1,CBZ36495.1	AIO00675.1	KAG5471631.1,KAG5471624.1	KAG5496918.1,KAG5496916.1	KAG5495804.1,KAG5495806.1
5	9	0.101	CBZ32260.1,CBZ32257.1	AIN96190.1	KAG5485722.1,KAG5485725.1	KAG5510778.1,KAG5510781.1	KAG5506360.1,KAG5506363.1
5	8	0.719	CBZ33835.1	AIN98103.1	KAG5479722.1,KAG5479741.1	KAG5506019.1,KAG5506036.1	KAG5502350.1,KAG5502369.1
5	8	0.709	CBZ34531.1	AIN98768.1	KAG5478031.1,KAG5478032.1	KAG5488310.1,KAG5504035.1	KAG5500786.1,KAG5500787.1
5	8	0.7	CBZ32194.1,CBZ32195.1	AIN96135.1	KAG5485659.1	KAG5510716.1,KAG5510717.1	KAG5506296.1,KAG5506297.1
5	8	0.692	CBZ32731.1	AIN96649.1	KAG5483740.1,KAG5483741.1	KAG5509724.1,KAG5509725.1	KAG5505117.1,KAG5505118.1
5	8	0.689	CBZ38482.1	AIO02180.1	KAG5464585.1,KAG5464598.1	KAG5489172.1,KAG5489185.1	KAG5488423.1,KAG5488436.1
5	8	0.685	CBZ31952.1	AIN95910.1	KAG5486503.1,KAG5486508.1	KAG5511355.1,KAG5511362.1	KAG5506961.1,KAG5506967.1
5	8	0.685	CBZ31953.1	AIN95911.1	KAG5486504.1,KAG5486509.1	KAG5511356.1,KAG5511363.1	KAG5506962.1,KAG5506968.1
5	8	0.678	CBZ35641.1,CBZ35669.1	AIN99867.1,AIN99893.1	KAG5474805.1,KAG5474836.1	KAG5500000.1	KAG5498422.1
5	8	0.669	CBZ35406.1	AIN99521.1	KAG5475633.1,KAG5475634.1	KAG5501024.1,KAG5501025.1	KAG5499290.1,KAG5499291.1
5	8	0.667	CBZ33458.1	AIN97328.1	KAG5481438.1,KAG5481439.1	KAG5508107.1,KAG5508108.1	KAG5503724.1,KAG5503725.1
5	8	0.666	CBZ31415.1	AIN95396.1	KAG5487854.1,KAG5487855.1	KAG5512215.1,KAG5512216.1	KAG5507912.1,KAG5507913.1
5	8	0.662	CBZ31642.1,CBZ31643.1	AIN95615.1	KAG5487266.1,KAG5487267.1	KAG5511786.1	KAG5507453.1,KAG5507454.1
5	8	0.658	CBZ32263.1	AIN96195.1	KAG5485588.1,KAG5485728.1	KAG5510783.1,KAG5510786.1	KAG5506220.1,KAG5506366.1
5	8	0.652	CBZ32850.1	AIN96756.1	KAG5482989.1,KAG5482990.1	KAG5509211.1,KAG5509212.1	KAG5504551.1,KAG5504552.1
5	8	0.652	CBZ37237.1	AIN96818.1,AIO01389.1	KAG5469011.1,KAG5483057.1	KAG5509280.1	KAG5493514.1,KAG5504619.1
5	8	0.65	CBZ32261.1	AIN96193.1	KAG5485590.1,KAG5485726.1	KAG5510782.1,KAG5510785.1	KAG5506222.1,KAG5506364.1
5	8	0.645	CBZ34604.1	AIN98837.1	KAG5478102.1,KAG5478103.1	KAG5504106.1,KAG5504107.1	KAG5500859.1,KAG5500860.1
5	8	0.643	CBZ34545.1	AIN98780.1	KAG5478045.1,KAG5478046.1	KAG5504048.1,KAG5504049.1	KAG5500800.1,KAG5500801.1
5	8	0.643	CBZ34852.1	AIN99085.1	KAG5477353.1,KAG5477354.1	KAG5503364.1,KAG5503365.1	KAG5500291.1,KAG5500292.1
5	8	0.639	CBZ32374.1	AIN96305.1	KAG5485413.1,KAG5485415.1	KAG5510474.1,KAG5510476.1	KAG5505973.1,KAG5505975.1
5	8	0.638	CBZ31131.1	AIN95144.1	KAG5488263.1,KAG5488264.1	KAG5512538.1,KAG5512539.1	KAG5508661.1,KAG5508662.1
5	8	0.637	CBZ38740.1	AIO02431.1	KAG5464861.1,KAG5464862.1	KAG5489441.1,KAG5489442.1	KAG5488695.1,KAG5488696.1
5	8	0.634	CBZ37350.1	AIO01497.1	KAG5466559.1,KAG5469122.1	KAG5492392.1,KAG5494392.1	KAG5491413.1,KAG5493626.1
5	8	0.627	CBZ31166.1	AIN95175.1	KAG5488297.1,KAG5488298.1	KAG5512573.1,KAG5512574.1	KAG5508694.1,KAG5508695.1
5	8	0.608	CBZ34517.1	AIN98757.1	KAG5478017.1,KAG5478019.1	KAG5504020.1,KAG5504022.1	KAG5500771.1,KAG5500773.1
5	8	0.601	CBZ37010.1	AIO01166.1	KAG5470043.1,KAG5470257.1	KAG5495357.1,KAG5495361.1,KAG5495580.1	KAG5494823.1
5	8	0.576	CBZ37011.1	AIO01167.1	KAG5470044.1,KAG5470258.1	KAG5495358.1,KAG5495362.1,KAG5495581.1	KAG5494824.1
5	8	0.548	CBZ38438.1	AIO01629.1	KAG5466044.1	KAG5491880.1,KAG5491881.1,KAG5491882.1	KAG5490882.1,KAG5490883.1
5	8	0.462	CBZ37951.1,CBZ37952.1	AIO01667.1	KAG5466082.1	KAG5491920.1,KAG5491921.1	KAG5490922.1,KAG5490923.1
5	8	0.407	CBZ33528.1	AIN97396.1	KAG5480871.1,KAG5480872.1	KAG5507306.1,KAG5507305.1	KAG5503041.1,KAG5503042.1
5	8	0.407	CBZ33831.1	AIN98099.1	KAG5479719.1,KAG5479737.1	KAG5506015.1,KAG5506032.1	KAG5502365.1,KAG5502346.1
5	8	0.397	CBZ37194.1	AIO01346.1	KAG5468969.1,KAG5468970.1	KAG5494234.1,KAG5494233.1	KAG5493473.1,KAG5493474.1
5	8	0.384	CBZ36488.1	AIO01447.1	KAG5471617.1,KAG5471618.1,KAG5471619.1,KAG5471620.1	KAG5488220.1	KAG5495797.1
5	8	0.351	CBZ32927.1	AIN96828.1	KAG5483067.1,KAG5483069.1	KAG5509290.1,KAG5509292.1	KAG5504629.1,KAG5504631.1
5	8	0.242	CBZ36132.1	AIO00343.1	KAG5472708.1,KAG5472709.1	KAG5497875.1,KAG5497876.1	KAG5496569.1,KAG5496570.1
5	8	0.164	CBZ32384.1,CBZ32389.1	AIN96312.1,AIN96317.1	KAG5485422.1	KAG5510483.1,KAG5510488.1	KAG5505982.1
5	8	0.104	CBZ36923.1,CBZ36922.1	AIO01077.1	KAG5470166.1,KAG5470165.1	KAG5495489.1	KAG5494731.1,KAG5494730.1
5	7	0.688	CBZ33833.1	AIN98101.1	KAG5479739.1	KAG5506017.1,KAG5506034.1	KAG5502348.1,KAG5502367.1
5	7	0.684	CBZ38642.1	AIO02338.1	KAG5464756.1,KAG5464758.1	KAG5489336.1	KAG5488592.1,KAG5488594.1
5	7	0.682	CBZ33603.1	AIN97463.1	KAG5480936.1,KAG5480942.1	KAG5507372.1	KAG5503109.1,KAG5503115.1
5	7	0.67	CBZ33605.1	AIN97465.1	KAG5480938.1,KAG5480944.1	KAG5507373.1	KAG5503111.1,KAG5503117.1
5	7	0.667	CBZ33832.1	AIN98100.1	KAG5479738.1	KAG5506016.1,KAG5506033.1	KAG5502347.1,KAG5502366.1
5	7	0.665	CBZ37006.1	AIO01162.1	KAG5470040.1,KAG5470255.1	KAG5495359.1,KAG5495577.1	KAG5494820.1
5	7	0.658	CBZ33834.1	AIN98102.1	KAG5479740.1	KAG5506018.1,KAG5506035.1	KAG5502349.1,KAG5502368.1
5	7	0.64	CBZ31954.1	AIN95912.1	KAG5486510.1	KAG5511357.1,KAG5511364.1	KAG5506963.1,KAG5506969.1
5	7	0.629	CBZ31238.1	AIN99637.1	KAG5488216.1	KAG5501147.1,KAG5512493.1	KAG5499410.1,KAG5508457.1
5	7	0.617	CBZ33606.1	AIN97466.1	KAG5480939.1,KAG5480945.1	KAG5507374.1	KAG5503112.1,KAG5503118.1
5	7	0.598	CBZ31955.1	AIN95913.1	KAG5486511.1	KAG5511358.1,KAG5511365.1	KAG5506964.1,KAG5506970.1
5	7	0.542	CBZ36670.1	AIO00836.1	KAG5471815.1	KAG5497096.1,KAG5497111.1,KAG5497123.1	KAG5496002.1
5	7	0.539	CBZ36378.1,CBZ36379.1,CBZ36380.1	AIO00571.1	KAG5472959.1	KAG5498126.1	KAG5496816.1
5	7	0.526	CBZ36779.1	AIO00936.1	KAG5470015.1	KAG5495336.1	KAG5494530.1,KAG5494539.1,KAG5494584.1
5	7	0.526	CBZ38915.1	AIO02599.1	KAG5465038.1	KAG5488396.1,KAG5488397.1,KAG5489622.1	KAG5488879.1
5	7	0.511	CBZ36666.1	AIO00832.1	KAG5471813.1	KAG5497094.1,KAG5497108.1,KAG5497120.1	KAG5495999.1
5	7	0.506	CBZ38570.1	AIO02267.1	KAG5464687.1,KAG5464688.1,KAG5464689.1	KAG5489270.1	KAG5488524.1
5	7	0.474	CBZ33307.1	AIN97182.1	KAG5479924.1,KAG5481921.1	KAG5506217.1,KAG5508617.1	KAG5503892.1
5	7	0.453	CBZ32520.1	AIN96450.1	KAG5484293.1	KAG5509921.1	KAG5505224.1,KAG5505225.1,KAG5505226.1
5	7	0.335	CBZ36665.1	AIO00831.1	KAG5471812.1	KAG5497107.1,KAG5497119.1,KAG5497093.1	KAG5495998.1
5	7	0.265	CBZ36403.1	AIO00594.1	KAG5474561.1,KAG5471545.1	KAG5499726.1	KAG5498148.1,KAG5495719.1
5	7	0.231	CBZ39091.1	AIO02772.1	KAG5465217.1,KAG5465301.1	KAG5489620.1	KAG5488893.1,KAG5489060.1
5	7	0.177	CBZ38652.1,CBZ38651.1	AIO02347.1	KAG5464769.1	KAG5489347.1,KAG5489346.1	KAG5488603.1
5	7	0.138	CBZ36663.1	AIO00829.1	KAG5471810.1	KAG5497104.1,KAG5497116.1,KAG5497091.1	KAG5495996.1
5	6	0.662	CBZ32649.1,CBZ32650.1	AIN96560.1	KAG5484413.1	KAG5510037.1	KAG5505339.1
5	6	0.659	CBZ37008.1	AIO01164.1	KAG5470041.1	KAG5495355.1,KAG5495578.1	KAG5494821.1
5	6	0.658	CBZ38110.1,CBZ38111.1	AIO01818.1	KAG5466240.1	KAG5492078.1	KAG5491083.1
5	6	0.653	CBZ36727.1	AIO00887.1	KAG5471872.1	KAG5497175.1,KAG5497190.1	KAG5496057.1
5	6	0.652	CBZ31674.1	AIN95643.1,AIN95645.1	KAG5487305.1	KAG5511824.1	KAG5507490.1
5	6	0.651	CBZ34330.1	AIN98580.1	KAG5478530.1	KAG5504823.1,KAG5504825.1	KAG5501294.1
5	6	0.651	CBZ35051.1,CBZ35052.1	AIN99276.1	KAG5476192.1	KAG5502217.1	KAG5499612.1
5	6	0.65	CBZ35432.1,CBZ35433.1	AIN99684.1	KAG5474613.1	KAG5499775.1	KAG5498198.1
5	6	0.649	CBZ36376.1	AIO00569.1	KAG5472955.1,KAG5472957.1	KAG5498124.1	KAG5496814.1
5	6	0.648	CBZ32166.1	AIN96107.1	KAG5485635.1	KAG5488333.1,KAG5488336.1	KAG5506265.1
5	6	0.647	CBZ34779.1	AIN99011.1,AIN99016.1	KAG5477280.1	KAG5503294.1	KAG5500219.1
5	6	0.647	CBZ34974.1,CBZ34975.1	AIN99201.1	KAG5476116.1	KAG5502141.1	KAG5499533.1
5	6	0.647	CBZ38265.1	AIO01971.1	KAG5466402.1	KAG5492239.1	KAG5491246.1,KAG5491250.1
5	6	0.646	CBZ36524.1	AIO00700.1	KAG5471657.1	KAG5496942.1	KAG5495829.1,KAG5495834.1
5	6	0.646	CBZ37688.1	AIN97696.1	KAG5467874.1	KAG5493208.1	KAG5491605.1,KAG5491655.1
5	6	0.645	CBZ36718.1	AIO00878.1	KAG5471864.1	KAG5497168.1,KAG5497183.1	KAG5496050.1
5	6	0.645	CBZ36781.1	AIO00946.1	KAG5470024.1	KAG5495338.1	KAG5494531.1,KAG5494585.1
5	6	0.643	CBZ38733.1,CBZ38734.1	AIO02425.1	KAG5464855.1	KAG5489435.1	KAG5488689.1
5	6	0.642	CBZ34106.1	AIN98364.1	KAG5479230.1	KAG5505436.1	KAG5501660.1,KAG5501670.1
5	6	0.641	CBZ36786.1	AIO00941.1	KAG5470020.1	KAG5495342.1	KAG5494535.1,KAG5494589.1
5	6	0.641	CBZ37298.1	AIO01446.1	KAG5469068.1	KAG5494337.1,KAG5494338.1	KAG5493572.1
5	6	0.64	CBZ37683.1	AIN97691.1	KAG5467869.1	KAG5493203.1	KAG5491600.1,KAG5491650.1
5	6	0.638	CBZ37970.1,CBZ37971.1	AIO01685.1	KAG5466097.1	KAG5491940.1	KAG5490941.1
5	6	0.638	CBZ38266.1	AIO01972.1	KAG5466403.1	KAG5492240.1	KAG5491247.1,KAG5491251.1
5	6	0.637	CBZ35304.1,CBZ35305.1	AIN99536.1	KAG5475650.1	KAG5501041.1	KAG5499307.1
5	6	0.635	CBZ32124.1,CBZ32125.1	AIN96071.1	KAG5485592.1	KAG5510657.1	KAG5506224.1
5	6	0.635	CBZ36782.1	AIO00945.1	KAG5470023.1	KAG5495339.1	KAG5494532.1,KAG5494586.1
5	6	0.634	CBZ36729.1	AIO00889.1	KAG5471874.1	KAG5497177.1,KAG5497192.1	KAG5496059.1
5	6	0.633	CBZ37686.1	AIN97694.1	KAG5467872.1	KAG5493206.1	KAG5491603.1,KAG5491653.1
5	6	0.632	CBZ36650.1	AIO00815.1	KAG5471803.1	KAG5497067.1,KAG5497079.1	KAG5495986.1
5	6	0.632	CBZ36783.1	AIO00944.1	KAG5470022.1	KAG5495340.1	KAG5494533.1,KAG5494587.1
5	6	0.629	CBZ37681.1	AIN97689.1	KAG5467867.1	KAG5493201.1	KAG5491598.1,KAG5491648.1
5	6	0.626	CBZ36523.1	AIO00699.1	KAG5471656.1	KAG5496941.1	KAG5495828.1,KAG5495833.1
5	6	0.626	CBZ37690.1	AIN97698.1	KAG5467876.1	KAG5493210.1	KAG5491607.1,KAG5491657.1
5	6	0.624	CBZ37682.1	AIN97690.1	KAG5467868.1	KAG5493202.1	KAG5491599.1,KAG5491649.1
5	6	0.622	CBZ36022.1	AIO00235.1	KAG5473661.1,KAG5486787.1	KAG5499151.1	KAG5497476.1
5	6	0.622	CBZ36631.1	AIO00796.1	KAG5471778.1	KAG5497046.1	KAG5495963.1,KAG5495970.1
5	6	0.621	CBZ34108.1	AIN98366.1	KAG5479232.1	KAG5505438.1	KAG5501662.1,KAG5501672.1
5	6	0.62	CBZ37680.1	AIN97688.1	KAG5467866.1	KAG5493200.1	KAG5491597.1,KAG5491647.1
5	6	0.619	CBZ36789.1	AIO00938.1	KAG5470017.1	KAG5495345.1	KAG5494538.1,KAG5494592.1
5	6	0.618	CBZ36723.1	AIO00883.1	KAG5471869.1	KAG5497172.1,KAG5497187.1	KAG5496054.1
