# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	69826	71883	-							JIQ42_08417	2058		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	69826	71883	-			KAG5508630.1	hypothetical protein			JIQ42_08417	2058		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	69826	71883	-	KAG5508630.1			hypothetical protein			JIQ42_08417	2058	685	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	73091	74269	-							JIQ42_08418	1179		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	73091	74269	-			KAG5508631.1	hypothetical protein			JIQ42_08418	1179		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	73091	74269	-	KAG5508631.1			hypothetical protein			JIQ42_08418	1179	392	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	75738	75986	-							JIQ42_08419	249		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	75738	75986	-			KAG5508632.1	hypothetical protein			JIQ42_08419	249		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	75738	75986	-	KAG5508632.1			hypothetical protein			JIQ42_08419	249	82	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	76675	77025	-							JIQ42_08420	351		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	76675	77025	-			KAG5508633.1	hypothetical protein			JIQ42_08420	351		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	76675	77025	-	KAG5508633.1			hypothetical protein			JIQ42_08420	351	116	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	77929	78171	-							JIQ42_08421	243		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	77929	78171	-			KAG5508634.1	hypothetical protein			JIQ42_08421	243		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	77929	78171	-	KAG5508634.1			hypothetical protein			JIQ42_08421	243	80	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	79668	81044	-							JIQ42_08422	1377		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	79668	81044	-			KAG5508635.1	hypothetical protein			JIQ42_08422	1377		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	79668	81044	-	KAG5508635.1			hypothetical protein			JIQ42_08422	1377	458	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	81956	84247	-							JIQ42_08423	2292		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	81956	84247	-			KAG5508636.1	hypothetical protein			JIQ42_08423	2292		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	81956	84247	-	KAG5508636.1			hypothetical protein			JIQ42_08423	2292	763	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	85030	85620	-							JIQ42_08424	591		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	85030	85620	-			KAG5508637.1	hypothetical protein			JIQ42_08424	591		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	85030	85620	-	KAG5508637.1			hypothetical protein			JIQ42_08424	591	196	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	86612	87421	-							JIQ42_08425	810		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	86612	87421	-			KAG5508638.1	hypothetical protein			JIQ42_08425	810		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	86612	87421	-	KAG5508638.1			hypothetical protein			JIQ42_08425	810	269	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	88213	90948	-							JIQ42_08426	2736		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	88213	90948	-			KAG5508639.1	hypothetical protein			JIQ42_08426	2736		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	88213	90948	-	KAG5508639.1			hypothetical protein			JIQ42_08426	2736	911	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	94751	95773	-							JIQ42_08427	1023		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	94751	95773	-			KAG5508640.1	hypothetical protein			JIQ42_08427	1023		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	94751	95773	-	KAG5508640.1			hypothetical protein			JIQ42_08427	1023	340	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	97941	98354	-							JIQ42_08428	414		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	97941	98354	-			KAG5508641.1	hypothetical protein			JIQ42_08428	414		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	97941	98354	-	KAG5508641.1			hypothetical protein			JIQ42_08428	414	137	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	99125	101989	-							JIQ42_08429	2865		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	99125	101989	-			KAG5508642.1	hypothetical protein			JIQ42_08429	2865		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	99125	101989	-	KAG5508642.1			hypothetical protein			JIQ42_08429	2865	954	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	102934	105438	-							JIQ42_08430	2505		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	102934	105438	-			KAG5508643.1	hypothetical protein			JIQ42_08430	2505		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	102934	105438	-	KAG5508643.1			hypothetical protein			JIQ42_08430	2505	834	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	106386	107243	-							JIQ42_08431	858		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	106386	107243	-			KAG5508644.1	hypothetical protein			JIQ42_08431	858		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	106386	107243	-	KAG5508644.1			hypothetical protein			JIQ42_08431	858	285	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	108049	108372	-							JIQ42_08432	324		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	108049	108372	-			KAG5508645.1	hypothetical protein			JIQ42_08432	324		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	108049	108372	-	KAG5508645.1			hypothetical protein			JIQ42_08432	324	107	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	109116	110357	-							JIQ42_08433	1242		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	109116	110357	-			KAG5508646.1	hypothetical protein			JIQ42_08433	1242		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	109116	110357	-	KAG5508646.1			hypothetical protein			JIQ42_08433	1242	413	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	111973	112485	-							JIQ42_08434	513		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	111973	112485	-			KAG5508647.1	hypothetical protein			JIQ42_08434	513		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	111973	112485	-	KAG5508647.1			hypothetical protein			JIQ42_08434	513	170	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	113344	113523	-							JIQ42_08435	180		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	113344	113523	-			KAG5508648.1	hypothetical protein			JIQ42_08435	180		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	113344	113523	-	KAG5508648.1			hypothetical protein			JIQ42_08435	180	59	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	114102	115265	-							JIQ42_08436	1164		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	114102	115265	-			KAG5508649.1	hypothetical protein			JIQ42_08436	1164		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	114102	115265	-	KAG5508649.1			hypothetical protein			JIQ42_08436	1164	387	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	115608	116051	-							JIQ42_08437	444		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	115608	116051	-			KAG5508650.1	hypothetical protein			JIQ42_08437	444		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	115608	116051	-	KAG5508650.1			hypothetical protein			JIQ42_08437	444	147	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	116902	117921	+							JIQ42_08438	1020		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	116902	117921	+			KAG5508651.1	hypothetical protein			JIQ42_08438	1020		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	116902	117921	+	KAG5508651.1			hypothetical protein			JIQ42_08438	1020	339	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	118355	118987	+							JIQ42_08439	633		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	118355	118987	+			KAG5508652.1	hypothetical protein			JIQ42_08439	633		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	118355	118987	+	KAG5508652.1			hypothetical protein			JIQ42_08439	633	210	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	119489	119782	+							JIQ42_08440	294		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	119489	119782	+			KAG5508653.1	hypothetical protein			JIQ42_08440	294		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	119489	119782	+	KAG5508653.1			hypothetical protein			JIQ42_08440	294	97	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	120732	121508	+							JIQ42_08441	777		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	120732	121508	+			KAG5508654.1	hypothetical protein			JIQ42_08441	777		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	120732	121508	+	KAG5508654.1			hypothetical protein			JIQ42_08441	777	258	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	122807	125023	+							JIQ42_08442	2217		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	122807	125023	+			KAG5508655.1	hypothetical protein			JIQ42_08442	2217		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	122807	125023	+	KAG5508655.1			hypothetical protein			JIQ42_08442	2217	738	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	125682	126260	+							JIQ42_08443	579		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	125682	126260	+			KAG5508656.1	hypothetical protein			JIQ42_08443	579		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	125682	126260	+	KAG5508656.1			hypothetical protein			JIQ42_08443	579	192	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	127038	127607	+							JIQ42_08444	570		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	127038	127607	+			KAG5508657.1	hypothetical protein			JIQ42_08444	570		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	127038	127607	+	KAG5508657.1			hypothetical protein			JIQ42_08444	570	189	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	129060	132534	+							JIQ42_08445	3475		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	129060	132534	+			KAG5508658.1	hypothetical protein			JIQ42_08445	2754		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	129060	132534	+	KAG5508658.1			hypothetical protein			JIQ42_08445	2754	917	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	132603	134876	+							JIQ42_08446	2274		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	132603	134876	+			KAG5508659.1	hypothetical protein			JIQ42_08446	2244		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	132603	134876	+	KAG5508659.1			hypothetical protein			JIQ42_08446	2244	747	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	135655	137349	+							JIQ42_08447	1695		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	135655	137349	+			KAG5508660.1	hypothetical protein			JIQ42_08447	1695		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	135655	137349	+	KAG5508660.1			hypothetical protein			JIQ42_08447	1695	564	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	139851	140453	+							JIQ42_08449	603		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	139851	140453	+			KAG5508661.1	hypothetical protein			JIQ42_08449	603		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	139851	140453	+	KAG5508661.1			hypothetical protein			JIQ42_08449	603	200	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	141733	142335	+							JIQ42_08450	603		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	141733	142335	+			KAG5508662.1	hypothetical protein			JIQ42_08450	603		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	141733	142335	+	KAG5508662.1			hypothetical protein			JIQ42_08450	603	200	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	143326	145719	+							JIQ42_08451	2394		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	143326	145719	+			KAG5508663.1	hypothetical protein			JIQ42_08451	2394		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	143326	145719	+	KAG5508663.1			hypothetical protein			JIQ42_08451	2394	797	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	147039	148802	+							JIQ42_08452	1764		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	147039	148802	+			KAG5508664.1	hypothetical protein			JIQ42_08452	1764		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	147039	148802	+	KAG5508664.1			hypothetical protein			JIQ42_08452	1764	587	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	152561	153235	+							JIQ42_08453	675		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	152561	153235	+			KAG5508665.1	hypothetical protein			JIQ42_08453	675		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	152561	153235	+	KAG5508665.1			hypothetical protein			JIQ42_08453	675	224	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	154747	159459	+							JIQ42_08454	4713		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	154747	159459	+			KAG5508666.1	hypothetical protein			JIQ42_08454	4650		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	154747	159459	+	KAG5508666.1			hypothetical protein			JIQ42_08454	4650	1549	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	161874	163964	+							JIQ42_08455	2091		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	161874	163964	+			KAG5508667.1	hypothetical protein			JIQ42_08455	2091		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	161874	163964	+	KAG5508667.1			hypothetical protein			JIQ42_08455	2091	696	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	165114	166166	+							JIQ42_08456	1053		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	165114	166166	+			KAG5508668.1	hypothetical protein			JIQ42_08456	1053		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	165114	166166	+	KAG5508668.1			hypothetical protein			JIQ42_08456	1053	350	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	167205	169301	+							JIQ42_08457	2097		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	167205	169301	+			KAG5508669.1	hypothetical protein			JIQ42_08457	2097		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	167205	169301	+	KAG5508669.1			hypothetical protein			JIQ42_08457	2097	698	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	173039	175183	+							JIQ42_08458	2145		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	173039	175183	+			KAG5508670.1	hypothetical protein			JIQ42_08458	2145		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	173039	175183	+	KAG5508670.1			hypothetical protein			JIQ42_08458	2145	714	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	179193	184016	+							JIQ42_08459	4824		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	179193	184016	+			KAG5508671.1	hypothetical protein			JIQ42_08459	4824		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	179193	184016	+	KAG5508671.1			hypothetical protein			JIQ42_08459	4824	1607	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	185359	187518	+							JIQ42_08460	2160		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	185359	187518	+			KAG5508672.1	hypothetical protein			JIQ42_08460	2160		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	185359	187518	+	KAG5508672.1			hypothetical protein			JIQ42_08460	2160	719	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	189958	191049	+							JIQ42_08461	1092		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	189958	191049	+			KAG5508673.1	hypothetical protein			JIQ42_08461	1092		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	189958	191049	+	KAG5508673.1			hypothetical protein			JIQ42_08461	1092	363	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	191898	193730	+							JIQ42_08462	1833		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	191898	193730	+			KAG5508674.1	hypothetical protein			JIQ42_08462	1833		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	191898	193730	+	KAG5508674.1			hypothetical protein			JIQ42_08462	1833	610	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	194144	195124	+							JIQ42_08463	981		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	194144	195124	+			KAG5508675.1	hypothetical protein			JIQ42_08463	981		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	194144	195124	+	KAG5508675.1			hypothetical protein			JIQ42_08463	981	326	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	195854	198913	+							JIQ42_08464	3060		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	195854	198913	+			KAG5508676.1	hypothetical protein			JIQ42_08464	3060		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	195854	198913	+	KAG5508676.1			hypothetical protein			JIQ42_08464	3060	1019	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	199582	201051	+							JIQ42_08465	1470		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	199582	201051	+			KAG5508677.1	hypothetical protein			JIQ42_08465	1470		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	199582	201051	+	KAG5508677.1			hypothetical protein			JIQ42_08465	1470	489	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	201912	207362	+							JIQ42_08466	5451		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	201912	207362	+			KAG5508678.1	hypothetical protein			JIQ42_08466	5451		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	201912	207362	+	KAG5508678.1			hypothetical protein			JIQ42_08466	5451	1816	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	207999	209255	+							JIQ42_08467	1257		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	207999	209255	+			KAG5508679.1	hypothetical protein			JIQ42_08467	1257		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	207999	209255	+	KAG5508679.1			hypothetical protein			JIQ42_08467	1257	418	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	212668	215889	+							JIQ42_08469	3222		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	212668	215889	+			KAG5508680.1	hypothetical protein			JIQ42_08469	3222		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	212668	215889	+	KAG5508680.1			hypothetical protein			JIQ42_08469	3222	1073	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	216599	219910	+							JIQ42_08470	3312		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	216599	219910	+			KAG5508681.1	hypothetical protein			JIQ42_08470	3312		
CDS	with_protein	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	216599	219910	+	KAG5508681.1			hypothetical protein			JIQ42_08470	3312	1103	
gene	protein_coding	GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	220739	222241	+							JIQ42_08471	1503		
mRNA		GCA_017918225.1	Primary Assembly	chromosome	1	CM030540.1	220739	222241	+			KAG5508682.1	hypothetical protein			JIQ42_08471	1503		
