# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	86758	87645	-							LSCM4_08317	888		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	86758	87645	-			KAG5488240.1	hypothetical protein			LSCM4_08317	888		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	86758	87645	-	KAG5488240.1			hypothetical protein			LSCM4_08317	888	295	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	88311	91031	-							LSCM4_08318	2721		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	88311	91031	-			KAG5488241.1	hypothetical protein			LSCM4_08318	2721		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	88311	91031	-	KAG5488241.1			hypothetical protein			LSCM4_08318	2721	906	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	95331	96353	-							LSCM4_08319	1023		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	95331	96353	-			KAG5488242.1	hypothetical protein			LSCM4_08319	1023		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	95331	96353	-	KAG5488242.1			hypothetical protein			LSCM4_08319	1023	340	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	98496	98915	-							LSCM4_08320	420		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	98496	98915	-			KAG5488243.1	hypothetical protein			LSCM4_08320	420		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	98496	98915	-	KAG5488243.1			hypothetical protein			LSCM4_08320	420	139	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	99670	102540	-							LSCM4_08321	2871		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	99670	102540	-			KAG5488244.1	hypothetical protein			LSCM4_08321	2871		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	99670	102540	-	KAG5488244.1			hypothetical protein			LSCM4_08321	2871	956	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	103452	105956	-							LSCM4_08322	2505		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	103452	105956	-			KAG5488245.1	hypothetical protein			LSCM4_08322	2505		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	103452	105956	-	KAG5488245.1			hypothetical protein			LSCM4_08322	2505	834	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	106910	107764	-							LSCM4_08323	855		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	106910	107764	-			KAG5488246.1	hypothetical protein			LSCM4_08323	855		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	106910	107764	-	KAG5488246.1			hypothetical protein			LSCM4_08323	855	284	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	108885	109208	-							LSCM4_08324	324		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	108885	109208	-			KAG5488247.1	hypothetical protein			LSCM4_08324	324		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	108885	109208	-	KAG5488247.1			hypothetical protein			LSCM4_08324	324	107	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	110034	111275	-							LSCM4_08325	1242		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	110034	111275	-			KAG5488248.1	hypothetical protein			LSCM4_08325	1242		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	110034	111275	-	KAG5488248.1			hypothetical protein			LSCM4_08325	1242	413	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	112910	113422	-							LSCM4_08326	513		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	112910	113422	-			KAG5488249.1	hypothetical protein			LSCM4_08326	513		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	112910	113422	-	KAG5488249.1			hypothetical protein			LSCM4_08326	513	170	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	114300	114479	-							LSCM4_08327	180		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	114300	114479	-			KAG5488250.1	hypothetical protein			LSCM4_08327	180		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	114300	114479	-	KAG5488250.1			hypothetical protein			LSCM4_08327	180	59	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	115062	116225	-							LSCM4_08328	1164		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	115062	116225	-			KAG5488251.1	hypothetical protein			LSCM4_08328	1164		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	115062	116225	-	KAG5488251.1			hypothetical protein			LSCM4_08328	1164	387	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	116569	117012	-							LSCM4_08329	444		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	116569	117012	-			KAG5488252.1	hypothetical protein			LSCM4_08329	444		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	116569	117012	-	KAG5488252.1			hypothetical protein			LSCM4_08329	444	147	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	117865	118884	+							LSCM4_08330	1020		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	117865	118884	+			KAG5488253.1	hypothetical protein			LSCM4_08330	1020		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	117865	118884	+	KAG5488253.1			hypothetical protein			LSCM4_08330	1020	339	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	119328	119960	+							LSCM4_08331	633		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	119328	119960	+			KAG5488254.1	hypothetical protein			LSCM4_08331	633		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	119328	119960	+	KAG5488254.1			hypothetical protein			LSCM4_08331	633	210	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	120462	120755	+							LSCM4_08332	294		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	120462	120755	+			KAG5488255.1	hypothetical protein			LSCM4_08332	294		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	120462	120755	+	KAG5488255.1			hypothetical protein			LSCM4_08332	294	97	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	121874	122647	+							LSCM4_08333	774		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	121874	122647	+			KAG5488256.1	hypothetical protein			LSCM4_08333	774		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	121874	122647	+	KAG5488256.1			hypothetical protein			LSCM4_08333	774	257	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	123990	126209	+							LSCM4_08334	2220		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	123990	126209	+			KAG5488257.1	hypothetical protein			LSCM4_08334	2220		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	123990	126209	+	KAG5488257.1			hypothetical protein			LSCM4_08334	2220	739	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	126839	127402	+							LSCM4_08335	564		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	126839	127402	+			KAG5488258.1	hypothetical protein			LSCM4_08335	564		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	126839	127402	+	KAG5488258.1			hypothetical protein			LSCM4_08335	564	187	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	128195	128764	+							LSCM4_08336	570		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	128195	128764	+			KAG5488259.1	hypothetical protein			LSCM4_08336	570		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	128195	128764	+	KAG5488259.1			hypothetical protein			LSCM4_08336	570	189	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	130235	132733	+							LSCM4_08337	2499		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	130235	132733	+			KAG5488260.1	hypothetical protein			LSCM4_08337	2499		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	130235	132733	+	KAG5488260.1			hypothetical protein			LSCM4_08337	2499	832	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	133567	136044	+							LSCM4_08338	2478		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	133567	136044	+			KAG5488261.1	hypothetical protein			LSCM4_08338	2448		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	133567	136044	+	KAG5488261.1			hypothetical protein			LSCM4_08338	2448	815	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	136829	138532	+							LSCM4_08339	1704		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	136829	138532	+			KAG5488262.1	hypothetical protein			LSCM4_08339	1704		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	136829	138532	+	KAG5488262.1			hypothetical protein			LSCM4_08339	1704	567	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	139152	139754	+							LSCM4_08340	603		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	139152	139754	+			KAG5488263.1	hypothetical protein			LSCM4_08340	603		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	139152	139754	+	KAG5488263.1			hypothetical protein			LSCM4_08340	603	200	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	141059	141661	+							LSCM4_08341	603		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	141059	141661	+			KAG5488264.1	hypothetical protein			LSCM4_08341	603		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	141059	141661	+	KAG5488264.1			hypothetical protein			LSCM4_08341	603	200	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	142656	145010	+							LSCM4_08342	2355		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	142656	145010	+			KAG5488265.1	hypothetical protein			LSCM4_08342	2355		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	142656	145010	+	KAG5488265.1			hypothetical protein			LSCM4_08342	2355	784	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	146610	148373	+							LSCM4_08343	1764		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	146610	148373	+			KAG5488266.1	hypothetical protein			LSCM4_08343	1764		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	146610	148373	+	KAG5488266.1			hypothetical protein			LSCM4_08343	1764	587	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	150775	151449	+							LSCM4_08344	675		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	150775	151449	+			KAG5488267.1	hypothetical protein			LSCM4_08344	675		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	150775	151449	+	KAG5488267.1			hypothetical protein			LSCM4_08344	675	224	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	153025	157653	+							LSCM4_08345	4629		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	153025	157653	+			KAG5488268.1	hypothetical protein			LSCM4_08345	4629		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	153025	157653	+	KAG5488268.1			hypothetical protein			LSCM4_08345	4629	1542	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	160645	162735	+							LSCM4_08346	2091		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	160645	162735	+			KAG5488269.1	hypothetical protein			LSCM4_08346	2091		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	160645	162735	+	KAG5488269.1			hypothetical protein			LSCM4_08346	2091	696	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	163927	165024	+							LSCM4_08347	1098		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	163927	165024	+			KAG5488270.1	hypothetical protein			LSCM4_08347	1098		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	163927	165024	+	KAG5488270.1			hypothetical protein			LSCM4_08347	1098	365	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	166197	168293	+							LSCM4_08348	2097		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	166197	168293	+			KAG5488271.1	hypothetical protein			LSCM4_08348	2097		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	166197	168293	+	KAG5488271.1			hypothetical protein			LSCM4_08348	2097	698	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	171932	174076	+							LSCM4_08349	2145		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	171932	174076	+			KAG5488272.1	hypothetical protein			LSCM4_08349	2145		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	171932	174076	+	KAG5488272.1			hypothetical protein			LSCM4_08349	2145	714	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	176721	181490	+							LSCM4_08350	4770		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	176721	181490	+			KAG5488273.1	hypothetical protein			LSCM4_08350	4770		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	176721	181490	+	KAG5488273.1			hypothetical protein			LSCM4_08350	4770	1589	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	182831	185011	+							LSCM4_08351	2181		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	182831	185011	+			KAG5488274.1	hypothetical protein			LSCM4_08351	2181		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	182831	185011	+	KAG5488274.1			hypothetical protein			LSCM4_08351	2181	726	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	187371	188642	+							LSCM4_08352	1272		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	187371	188642	+			KAG5488275.1	hypothetical protein			LSCM4_08352	1272		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	187371	188642	+	KAG5488275.1			hypothetical protein			LSCM4_08352	1272	423	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	189527	191353	+							LSCM4_08353	1827		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	189527	191353	+			KAG5488276.1	hypothetical protein			LSCM4_08353	1827		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	189527	191353	+	KAG5488276.1			hypothetical protein			LSCM4_08353	1827	608	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	191774	192754	+							LSCM4_08354	981		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	191774	192754	+			KAG5488277.1	hypothetical protein			LSCM4_08354	981		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	191774	192754	+	KAG5488277.1			hypothetical protein			LSCM4_08354	981	326	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	193484	196540	+							LSCM4_08355	3057		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	193484	196540	+			KAG5488278.1	hypothetical protein			LSCM4_08355	3057		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	193484	196540	+	KAG5488278.1			hypothetical protein			LSCM4_08355	3057	1018	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	197213	198682	+							LSCM4_08356	1470		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	197213	198682	+			KAG5488279.1	hypothetical protein			LSCM4_08356	1470		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	197213	198682	+	KAG5488279.1			hypothetical protein			LSCM4_08356	1470	489	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	199508	204910	+							LSCM4_08357	5403		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	199508	204910	+			KAG5488280.1	hypothetical protein			LSCM4_08357	5403		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	199508	204910	+	KAG5488280.1			hypothetical protein			LSCM4_08357	5403	1800	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	205523	206779	+							LSCM4_08358	1257		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	205523	206779	+			KAG5488281.1	hypothetical protein			LSCM4_08358	1257		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	205523	206779	+	KAG5488281.1			hypothetical protein			LSCM4_08358	1257	418	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	210297	213491	+							LSCM4_08360	3195		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	210297	213491	+			KAG5488282.1	hypothetical protein			LSCM4_08360	3195		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	210297	213491	+	KAG5488282.1			hypothetical protein			LSCM4_08360	3195	1064	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	214188	217508	+							LSCM4_08361	3321		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	214188	217508	+			KAG5488283.1	hypothetical protein			LSCM4_08361	3321		
CDS	with_protein	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	214188	217508	+	KAG5488283.1			hypothetical protein			LSCM4_08361	3321	1106	
gene	protein_coding	GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	218327	219829	+							LSCM4_08362	1503		
mRNA		GCA_017916335.1	Primary Assembly	chromosome	1	CM030432.1	218327	219829	+			KAG5488284.1	hypothetical protein			LSCM4_08362	1503		
