# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	67532	68272	-							GH5_08469	741		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	67532	68272	-			KAG5512503.1	hypothetical protein			GH5_08469	741		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	67532	68272	-	KAG5512503.1			hypothetical protein			GH5_08469	741	246	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	69282	71114	-							GH5_08470	1833		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	69282	71114	-			KAG5512504.1	hypothetical protein			GH5_08470	1833		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	69282	71114	-	KAG5512504.1			hypothetical protein			GH5_08470	1833	610	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	71814	72530	-							GH5_08471	717		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	71814	72530	-			KAG5512505.1	hypothetical protein			GH5_08471	717		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	71814	72530	-	KAG5512505.1			hypothetical protein			GH5_08471	717	238	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	73930	74754	-							GH5_08472	825		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	73930	74754	-			KAG5512506.1	hypothetical protein			GH5_08472	825		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	73930	74754	-	KAG5512506.1			hypothetical protein			GH5_08472	825	274	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	75490	76560	-							GH5_08473	1071		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	75490	76560	-			KAG5512507.1	hypothetical protein			GH5_08473	1071		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	75490	76560	-	KAG5512507.1			hypothetical protein			GH5_08473	1071	356	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	77648	78250	-							GH5_08474	603		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	77648	78250	-			KAG5512508.1	hypothetical protein			GH5_08474	603		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	77648	78250	-	KAG5512508.1			hypothetical protein			GH5_08474	603	200	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	79673	81736	-							GH5_08475	2064		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	79673	81736	-			KAG5512509.1	hypothetical protein			GH5_08475	2064		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	79673	81736	-	KAG5512509.1			hypothetical protein			GH5_08475	2064	687	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	82923	84101	-							GH5_08476	1179		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	82923	84101	-			KAG5512510.1	hypothetical protein			GH5_08476	1179		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	82923	84101	-	KAG5512510.1			hypothetical protein			GH5_08476	1179	392	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	85629	85877	-							GH5_08477	249		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	85629	85877	-			KAG5512511.1	hypothetical protein			GH5_08477	249		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	85629	85877	-	KAG5512511.1			hypothetical protein			GH5_08477	249	82	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	86543	86893	-							GH5_08478	351		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	86543	86893	-			KAG5512512.1	hypothetical protein			GH5_08478	351		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	86543	86893	-	KAG5512512.1			hypothetical protein			GH5_08478	351	116	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	87830	88072	-							GH5_08479	243		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	87830	88072	-			KAG5512513.1	hypothetical protein			GH5_08479	243		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	87830	88072	-	KAG5512513.1			hypothetical protein			GH5_08479	243	80	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	89573	90937	-							GH5_08480	1365		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	89573	90937	-			KAG5512514.1	hypothetical protein			GH5_08480	1365		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	89573	90937	-	KAG5512514.1			hypothetical protein			GH5_08480	1365	454	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	91795	94098	-							GH5_08481	2304		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	91795	94098	-			KAG5512515.1	hypothetical protein			GH5_08481	2304		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	91795	94098	-	KAG5512515.1			hypothetical protein			GH5_08481	2304	767	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	94873	95463	-							GH5_08482	591		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	94873	95463	-			KAG5512516.1	hypothetical protein			GH5_08482	591		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	94873	95463	-	KAG5512516.1			hypothetical protein			GH5_08482	591	196	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	96430	97317	-							GH5_08483	888		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	96430	97317	-			KAG5512517.1	hypothetical protein			GH5_08483	888		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	96430	97317	-	KAG5512517.1			hypothetical protein			GH5_08483	888	295	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	97990	100719	-							GH5_08484	2730		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	97990	100719	-			KAG5512518.1	hypothetical protein			GH5_08484	2730		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	97990	100719	-	KAG5512518.1			hypothetical protein			GH5_08484	2730	909	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	104950	106017	-							GH5_08485	1068		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	104950	106017	-			KAG5512519.1	hypothetical protein			GH5_08485	1068		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	104950	106017	-	KAG5512519.1			hypothetical protein			GH5_08485	1068	355	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	108174	108587	-							GH5_08486	414		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	108174	108587	-			KAG5512520.1	hypothetical protein			GH5_08486	414		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	108174	108587	-	KAG5512520.1			hypothetical protein			GH5_08486	414	137	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	109353	112229	-							GH5_08487	2877		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	109353	112229	-			KAG5512521.1	hypothetical protein			GH5_08487	2877		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	109353	112229	-	KAG5512521.1			hypothetical protein			GH5_08487	2877	958	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	113155	115662	-							GH5_08488	2508		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	113155	115662	-			KAG5512522.1	hypothetical protein			GH5_08488	2508		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	113155	115662	-	KAG5512522.1			hypothetical protein			GH5_08488	2508	835	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	118350	118673	-							GH5_08490	324		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	118350	118673	-			KAG5512523.1	hypothetical protein			GH5_08490	324		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	118350	118673	-	KAG5512523.1			hypothetical protein			GH5_08490	324	107	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	119470	120711	-							GH5_08491	1242		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	119470	120711	-			KAG5512524.1	hypothetical protein			GH5_08491	1242		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	119470	120711	-	KAG5512524.1			hypothetical protein			GH5_08491	1242	413	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	122325	122837	-							GH5_08492	513		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	122325	122837	-			KAG5512525.1	hypothetical protein			GH5_08492	513		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	122325	122837	-	KAG5512525.1			hypothetical protein			GH5_08492	513	170	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	123691	123870	-							GH5_08493	180		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	123691	123870	-			KAG5512526.1	hypothetical protein			GH5_08493	180		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	123691	123870	-	KAG5512526.1			hypothetical protein			GH5_08493	180	59	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	124446	125609	-							GH5_08494	1164		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	124446	125609	-			KAG5512527.1	hypothetical protein			GH5_08494	1164		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	124446	125609	-	KAG5512527.1			hypothetical protein			GH5_08494	1164	387	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	125950	126393	-							GH5_08495	444		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	125950	126393	-			KAG5512528.1	hypothetical protein			GH5_08495	444		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	125950	126393	-	KAG5512528.1			hypothetical protein			GH5_08495	444	147	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	127241	128260	+							GH5_08496	1020		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	127241	128260	+			KAG5512529.1	hypothetical protein			GH5_08496	1020		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	127241	128260	+	KAG5512529.1			hypothetical protein			GH5_08496	1020	339	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	128728	129360	+							GH5_08497	633		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	128728	129360	+			KAG5512530.1	hypothetical protein			GH5_08497	633		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	128728	129360	+	KAG5512530.1			hypothetical protein			GH5_08497	633	210	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	129858	130151	+							GH5_08498	294		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	129858	130151	+			KAG5512531.1	hypothetical protein			GH5_08498	294		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	129858	130151	+	KAG5512531.1			hypothetical protein			GH5_08498	294	97	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	131101	131877	+							GH5_08499	777		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	131101	131877	+			KAG5512532.1	hypothetical protein			GH5_08499	777		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	131101	131877	+	KAG5512532.1			hypothetical protein			GH5_08499	777	258	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	133205	135424	+							GH5_08500	2220		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	133205	135424	+			KAG5512533.1	hypothetical protein			GH5_08500	2220		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	133205	135424	+	KAG5512533.1			hypothetical protein			GH5_08500	2220	739	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	136039	136611	+							GH5_08501	573		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	136039	136611	+			KAG5512534.1	hypothetical protein			GH5_08501	573		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	136039	136611	+	KAG5512534.1			hypothetical protein			GH5_08501	573	190	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	137384	137953	+							GH5_08502	570		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	137384	137953	+			KAG5512535.1	hypothetical protein			GH5_08502	570		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	137384	137953	+	KAG5512535.1			hypothetical protein			GH5_08502	570	189	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	139427	141925	+							GH5_08503	2499		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	139427	141925	+			KAG5512536.1	hypothetical protein			GH5_08503	2499		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	139427	141925	+	KAG5512536.1			hypothetical protein			GH5_08503	2499	832	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	146127	147830	+							GH5_08505	1704		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	146127	147830	+			KAG5512537.1	hypothetical protein			GH5_08505	1704		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	146127	147830	+	KAG5512537.1			hypothetical protein			GH5_08505	1704	567	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	148453	149055	+							GH5_08506	603		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	148453	149055	+			KAG5512538.1	hypothetical protein			GH5_08506	603		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	148453	149055	+	KAG5512538.1			hypothetical protein			GH5_08506	603	200	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	150307	150909	+							GH5_08507	603		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	150307	150909	+			KAG5512539.1	hypothetical protein			GH5_08507	603		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	150307	150909	+	KAG5512539.1			hypothetical protein			GH5_08507	603	200	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	151871	154264	+							GH5_08508	2394		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	151871	154264	+			KAG5512540.1	hypothetical protein			GH5_08508	2394		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	151871	154264	+	KAG5512540.1			hypothetical protein			GH5_08508	2394	797	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	155295	157058	+							GH5_08509	1764		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	155295	157058	+			KAG5512541.1	hypothetical protein			GH5_08509	1764		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	155295	157058	+	KAG5512541.1			hypothetical protein			GH5_08509	1764	587	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	159508	160182	+							GH5_08510	675		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	159508	160182	+			KAG5512542.1	hypothetical protein			GH5_08510	675		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	159508	160182	+	KAG5512542.1			hypothetical protein			GH5_08510	675	224	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	168855	170945	+							GH5_08512	2091		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	168855	170945	+			KAG5512543.1	hypothetical protein			GH5_08512	2091		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	168855	170945	+	KAG5512543.1			hypothetical protein			GH5_08512	2091	696	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	172219	173271	+							GH5_08513	1053		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	172219	173271	+			KAG5512544.1	hypothetical protein			GH5_08513	1053		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	172219	173271	+	KAG5512544.1			hypothetical protein			GH5_08513	1053	350	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	174497	176569	+							GH5_08514	2073		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	174497	176569	+			KAG5512545.1	hypothetical protein			GH5_08514	2073		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	174497	176569	+	KAG5512545.1			hypothetical protein			GH5_08514	2073	690	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	179071	179289	+							GH5_08515	219		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	179071	179289	+			KAG5512546.1	hypothetical protein			GH5_08515	219		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	179071	179289	+	KAG5512546.1			hypothetical protein			GH5_08515	219	72	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	180224	182368	+							GH5_08516	2145		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	180224	182368	+			KAG5512547.1	hypothetical protein			GH5_08516	2145		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	180224	182368	+	KAG5512547.1			hypothetical protein			GH5_08516	2145	714	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	186446	191248	+							GH5_08517	4803		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	186446	191248	+			KAG5512548.1	hypothetical protein			GH5_08517	4803		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	186446	191248	+	KAG5512548.1			hypothetical protein			GH5_08517	4803	1600	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	192563	194749	+							GH5_08518	2187		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	192563	194749	+			KAG5512549.1	hypothetical protein			GH5_08518	2187		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	192563	194749	+	KAG5512549.1			hypothetical protein			GH5_08518	2187	728	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	197135	198223	+							GH5_08519	1089		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	197135	198223	+			KAG5512550.1	hypothetical protein			GH5_08519	1089		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	197135	198223	+	KAG5512550.1			hypothetical protein			GH5_08519	1089	362	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	199149	200975	+							GH5_08520	1827		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	199149	200975	+			KAG5512551.1	hypothetical protein			GH5_08520	1827		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	199149	200975	+	KAG5512551.1			hypothetical protein			GH5_08520	1827	608	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	201394	202374	+							GH5_08521	981		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	201394	202374	+			KAG5512552.1	hypothetical protein			GH5_08521	981		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	201394	202374	+	KAG5512552.1			hypothetical protein			GH5_08521	981	326	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	203085	206141	+							GH5_08522	3057		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	203085	206141	+			KAG5512553.1	hypothetical protein			GH5_08522	3057		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	203085	206141	+	KAG5512553.1			hypothetical protein			GH5_08522	3057	1018	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	206771	208240	+							GH5_08523	1470		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	206771	208240	+			KAG5512554.1	hypothetical protein			GH5_08523	1470		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	206771	208240	+	KAG5512554.1			hypothetical protein			GH5_08523	1470	489	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	209144	214612	+							GH5_08524	5469		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	209144	214612	+			KAG5512555.1	hypothetical protein			GH5_08524	5469		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	209144	214612	+	KAG5512555.1			hypothetical protein			GH5_08524	5469	1822	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	215242	216498	+							GH5_08525	1257		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	215242	216498	+			KAG5512556.1	hypothetical protein			GH5_08525	1257		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	215242	216498	+	KAG5512556.1			hypothetical protein			GH5_08525	1257	418	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	217090	218883	+							GH5_08526	1794		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	217090	218883	+			KAG5512557.1	hypothetical protein			GH5_08526	1794		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	217090	218883	+	KAG5512557.1			hypothetical protein			GH5_08526	1794	597	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	220050	223277	+							GH5_08527	3228		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	220050	223277	+			KAG5512558.1	hypothetical protein			GH5_08527	3228		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	220050	223277	+	KAG5512558.1			hypothetical protein			GH5_08527	3228	1075	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	223990	227307	+							GH5_08528	3318		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	223990	227307	+			KAG5512559.1	hypothetical protein			GH5_08528	3318		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	223990	227307	+	KAG5512559.1			hypothetical protein			GH5_08528	3318	1105	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	228145	229650	+							GH5_08529	1506		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	228145	229650	+			KAG5512560.1	hypothetical protein			GH5_08529	1506		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	228145	229650	+	KAG5512560.1			hypothetical protein			GH5_08529	1506	501	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	230658	235322	+							GH5_08530	4665		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	230658	235322	+			KAG5512561.1	hypothetical protein			GH5_08530	4665		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	230658	235322	+	KAG5512561.1			hypothetical protein			GH5_08530	4665	1554	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	236213	237097	+							GH5_08531	885		
mRNA		GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	236213	237097	+			KAG5512562.1	hypothetical protein			GH5_08531	885		
CDS	with_protein	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	236213	237097	+	KAG5512562.1			hypothetical protein			GH5_08531	885	294	
gene	protein_coding	GCA_017918215.1	Primary Assembly	chromosome	1	CM030468.1	239303	241471	+							GH5_08532	2169		
